school,course_id,keyword,count
california_state_university_long_beach,california_state_university_long_beach__69,control systems,1
california_state_university_long_beach,california_state_university_long_beach__70,combustion,1
california_state_university_long_beach,california_state_university_long_beach__71,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__72,predictive analytics,1
california_state_university_long_beach,california_state_university_long_beach__73,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__74,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__75,control systems,1
california_state_university_long_beach,california_state_university_long_beach__76,control systems,1
california_state_university_long_beach,california_state_university_long_beach__77,resource management,1
california_state_university_long_beach,california_state_university_long_beach__78,engineering management,1
california_state_university_long_beach,california_state_university_long_beach__79,esg,1
california_state_university_long_beach,california_state_university_long_beach__80,automation,1
california_state_university_long_beach,california_state_university_long_beach__81,control systems,1
california_state_university_long_beach,california_state_university_long_beach__82,heat transfer,1
california_state_university_long_beach,california_state_university_long_beach__82,ansys,1
california_state_university_long_beach,california_state_university_long_beach__83,control systems,1
california_state_university_long_beach,california_state_university_long_beach__84,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__84,heat transfer,1
california_state_university_long_beach,california_state_university_long_beach__85,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__86,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__86,combustion,2
california_state_university_long_beach,california_state_university_long_beach__87,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__87,heat transfer,1
california_state_university_long_beach,california_state_university_long_beach__88,combustion,3
california_state_university_long_beach,california_state_university_long_beach__88,flammability,1
california_state_university_long_beach,california_state_university_long_beach__88,explosion,1
california_state_university_long_beach,california_state_university_long_beach__89,heat transfer,3
california_state_university_long_beach,california_state_university_long_beach__90,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__91,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__92,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__92,systems engineering,1
california_state_university_long_beach,california_state_university_long_beach__93,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__93,project management,2
california_state_university_long_beach,california_state_university_long_beach__93,control systems,1
california_state_university_long_beach,california_state_university_long_beach__94,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__95,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__95,engineering management,1
california_state_university_long_beach,california_state_university_long_beach__96,resource management,1
california_state_university_long_beach,california_state_university_long_beach__97,systems engineering,2
california_state_university_long_beach,california_state_university_long_beach__97,heat transfer,1
california_state_university_long_beach,california_state_university_long_beach__98,control systems,3
california_state_university_long_beach,california_state_university_long_beach__99,control systems,3
california_state_university_long_beach,california_state_university_long_beach__100,gas turbine,4
california_state_university_long_beach,california_state_university_long_beach__101,heat transfer,4
california_state_university_long_beach,california_state_university_long_beach__102,systems engineering,1
california_state_university_long_beach,california_state_university_long_beach__103,control systems,1
california_state_university_long_beach,california_state_university_long_beach__104,combustion,1
california_state_university_long_beach,california_state_university_long_beach__104,heat transfer,1
california_state_university_long_beach,california_state_university_long_beach__105,gas turbine,1
california_state_university_long_beach,california_state_university_long_beach__106,heat transfer,1
california_state_university_long_beach,california_state_university_long_beach__107,heat transfer,1
california_state_university_long_beach,california_state_university_long_beach__108,welding,1
california_state_university_long_beach,california_state_university_long_beach__109,resource management,1
california_state_university_long_beach,california_state_university_long_beach__110,resource management,1
california_state_university_long_beach,california_state_university_long_beach__111,resource management,1
california_state_university_long_beach,california_state_university_long_beach__112,resource management,1
california_state_university_long_beach,california_state_university_long_beach__113,resource management,1
california_state_university_long_beach,california_state_university_long_beach__113,quality assurance,1
california_state_university_long_beach,california_state_university_long_beach__114,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__115,quality assurance,2
california_state_university_long_beach,california_state_university_long_beach__116,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__117,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__118,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__119,engineering management,1
california_state_university_long_beach,california_state_university_long_beach__120,project management,1
california_state_university_long_beach,california_state_university_long_beach__121,risk assessment,1
california_state_university_long_beach,california_state_university_long_beach__122,project management,1
california_state_university_long_beach,california_state_university_long_beach__123,risk assessment,1
california_state_university_long_beach,california_state_university_long_beach__124,risk assessment,1
california_state_university_long_beach,california_state_university_long_beach__125,engineering management,1
california_state_university_long_beach,california_state_university_long_beach__126,resource management,2
california_state_university_long_beach,california_state_university_long_beach__127,resource management,2
california_state_university_long_beach,california_state_university_long_beach__128,resource management,1
california_state_university_long_beach,california_state_university_long_beach__129,resource management,1
california_state_university_long_beach,california_state_university_long_beach__130,resource management,1
california_state_university_long_beach,california_state_university_long_beach__131,project management,3
california_state_university_long_beach,california_state_university_long_beach__132,renewable energy,1
california_state_university_long_beach,california_state_university_long_beach__132,energy demand,1
california_state_university_long_beach,california_state_university_long_beach__133,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__134,control systems,1
california_state_university_long_beach,california_state_university_long_beach__135,water quality,1
california_state_university_long_beach,california_state_university_long_beach__136,geographic information systems,1
california_state_university_long_beach,california_state_university_long_beach__137,geographic information systems,1
california_state_university_long_beach,california_state_university_long_beach__138,geographic information systems,1
california_state_university_long_beach,california_state_university_long_beach__139,water quality,1
california_state_university_long_beach,california_state_university_long_beach__140,geographic information systems,1
california_state_university_long_beach,california_state_university_long_beach__141,geographic information systems,1
california_state_university_long_beach,california_state_university_long_beach__142,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__143,resource management,1
california_state_university_long_beach,california_state_university_long_beach__144,water quality,1
california_state_university_long_beach,california_state_university_long_beach__145,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__145,greenhouse gas emissions,1
california_state_university_long_beach,california_state_university_long_beach__146,water quality,1
california_state_university_long_beach,california_state_university_long_beach__147,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__147,renewable energy,1
california_state_university_long_beach,california_state_university_long_beach__147,environmental regulation,1
california_state_university_long_beach,california_state_university_long_beach__148,resource management,1
california_state_university_long_beach,california_state_university_long_beach__149,technical drawing,1
california_state_university_long_beach,california_state_university_long_beach__150,technical drawing,1
california_state_university_long_beach,california_state_university_long_beach__151,sustainability,3
california_state_university_long_beach,california_state_university_long_beach__152,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__153,sustainability,3
california_state_university_long_beach,california_state_university_long_beach__154,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__155,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__156,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__157,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__158,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__159,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__160,geographic information systems,1
california_state_university_long_beach,california_state_university_long_beach__161,control systems,1
california_state_university_long_beach,california_state_university_long_beach__162,automation,1
