title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
MECT 3367 - Quality Control Technology,3 0 Grade of C- or better in and or equivalents. Statistical analysis of data to establish quality control systems for manufacturing facilities. No Yes,1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
MECT 3345 - Fundamentals of Power Generation Technology,"3 0 TECH 2325 and or consent of instructor. Concept of designing power plant systems by incorporating various renewable and non-renewable energy sources for better energy efficiency, emerging efficient clean power technology. No No",8.0,Renewable Energy;Power Generation,sustainability_and_policy-4;use-3,"{""power generation"": 1, ""renewable energy"": 1}"
RELS 4350 - Religious Studies Internship Practicum,3 0 and . Independent study option to document acquired experience in an approved internship program in fulfillment of the Religious Studies Practicum requirement. May be repeated for elective credit. Requires approval of Director of Religious Studies or CCS Chair. Typically Offered: Fall N,3.5,CCS,production-3,"{""ccs"": 1}"
QSS 3303 - Research Quality Assurance,"3 0 or equivalent. Assessment, measurement, and interpretation of data. Methods for assuring datasets and databases are accurate, accessible, consistent, reliable, secure, and timely.",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
TLIM 4340 - Commercializing Innovation,"3 0 Grade of C- or better in . Applying the scientific method to design experiments to evaluate and implement ideas. Determining the feasibility, sustainability, economics, and profitability of ideas. No No",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
TLIM 3355 - Project Management Principles,3 0 Grade of C- or better in . Project management processes: core knowledge and skills. No Yes,3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
SYSE 4334 - Systems Engineering Capstone Design,"3 0 , , ; all prerequisites must be completed with C- or higher. This course requires students to apply the knowledge and techniques gained from the systems engineering curriculum to address and solve open-ended problem(s) supplied by project sponsors. The capstone design project represents a substantive application and evaluation of coursework covered in the systems engineering program. No No",3.5,Systems Engineering,engineering_capabilities-2,"{""systems engineering"": 3}"
SYSE 4330 - Healthcare Systems Engineering,"3 0 ; all prerequisites must be completed with C- or higher. This course introduces important components of healthcare system and examines healthcare operations from systems engineering perspective. Topics include patient flow, patient safety, capacity management, inventory management and logistics, lean thinking, healthcare system performance measures and healthcare policy. Students will have chance to apply industrial and systems engineering tools to improve healthcare system and have better understanding of the role of systems engineering in addressing healthcare issues. This course emphasizes how different parts of the system interact with one another and to consider how changes made to one part of a healthcare system can have unintended consequences on other parts of the system. No No",4.0,Systems Engineering,engineering_capabilities-2,"{""systems engineering"": 4}"
SYSE 4320 - Project Management of Complex Systems,"3 0 and ; all prerequisites must be completed with C- or higher. This course introduces methods and tools for planning and managing complex product and system development projects. This course focuses on the preparation, planning, monitoring and adaptation of projects. Students will not only learn both traditional project management (PM) tools and methods, but also advanced PM concepts for managing complex systems. No No",3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
SYSE 4111 - Systems Engineering Seminar,1 0 . ; all prerequisites must be completed with C- or higher. The Systems Engineering (SE) seminar series will be presented by recognized academic or industrial experts in a variety of fields of SE and related disciplines. No No,3.0,Systems Engineering,engineering_capabilities-2,"{""systems engineering"": 2}"
"SYSE 3340 - Systems Integration, Verfication and Validation","3 0 ; all prerequisites must be completed with C- or higher. This course introduces students to the use of systems engineering principles and best practices of systems and systems-of-systems verification and validation (V&V). V&V activities, process, and methodologies will be examined as they apply across the system development life cycle. Systems V&V helps ensure that the designed system meets the intended requirements and specifications and assess and validate solutions to deliver promised outcomes to customers. Students will learn the activities, techniques, and processes for defining and classifying requirements, assessing proposed solutions, and performing solution validation. No No",2.5,Systems Engineering,engineering_capabilities-2,"{""systems engineering"": 1}"
SYSE 3301 - Fundamentals of Systems Engineering,"3 0 ; all prerequisites must be completed with C- or higher. This course introduces students to fundamental principles and methods of systems engineering and their applications to the development and management of complex systems. The course defines the scope of and methods that systems engineers must acquire to design, develop and manage large-scale engineering systems. These include defining systems, systems development life cycle, systems modelling & testing and systems engineering management. No No",4.0,Engineering Management;Systems Engineering,engineering_capabilities-2,"{""engineering management"": 1, ""systems engineering"": 3}"
SCM 4390 - Supply Chain Strategy,"3.0 0.0 and credit for or concurrent enrollment in ; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. Examines how to align supply chain processes to best support market product and service needs with the intent of enhancing market competitiveness. Topics include product development, technology management, corporate valuation, product and process matrix, sustainability, global logistics strategy and others.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
SCM 4362 - Demand and Supply Integration,"3 0 ; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. Strategies for demand and supply integration. Topics include: planning and control systems, forecasting, portponement, rapid replenishment, Toyota production system, seasonal planning, requirements and distribution system design, and information technology applications.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
SCM 4311 - Project Management,"3.0 0.0 ; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. Management of large-scale and complex one-time ventures. Topics include organizational design, work breakdown structure, network analysis, cost and schedule control, and software application.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
