title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
MGT 3320 Strategic Human Resource Management (3),"The planning and implementation of HR policy at the strategic level of an organization, including recruitment, selection, development, maintenance and reward of employees; relationships with environment and employee associations.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
MGT 3280 Management Internship (3),"Students, supervised by a management faculty member and an approved business executive, will follow a predetermined schedule of activities while working for a business firm. Hands-on experience in the fields of management, human resource management, organizational behavior, small business management, entrepreneurship, and administrative practices.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
MGT 3200 Principles of Management (3),"Management functions, including planning, organizing, staffing/human resource management, leading/interpersonal influence and controlling in both domestic and international spheres.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
MEDP 7331 Radiation Therapy Physics (3),"Fundamental physical principles, operation of delivery equipment, treatment planning principles, methods of dose calculations, determination of irradiation time from dose prescription, dose measurements and quality assurance for external beam therapy (photons and electrons) and internal brachytherapy.",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
MEDP 7280 Advanced Clinical Radiation Therapy Physics Rotation (2),"Under the supervision of clinical medical physics staff, introduction to the planning, delivery and dosimetric aspects of advanced radiation therapy treatments such as brachytherapy, stereotactic radiosurgery, total skin electron therapy, intensity modulated radiotherapy and image guided radiotherapy and to the advanced physical practices of accelerator quality assurance and radiation therapy shielding design.",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
MEDP 7270 Advanced Radiation Therapy Physics (3),"Basic principles of clinical indications, radiation delivery, treatment planning, dose calculations, dose measurements and quality assurance for advanced treatment techniques used in radiation therapy (external beam electron, proton and photon therapy and internal brachytherapy).",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
MEDP 7260 Clinical Medical Physics Rotation (4),"Under the direction of clinical staff, introduction to clinical duties of the medical physicist in radiation therapy and radiology. Radiation therapy physics topics include treatment planning, delivery techniques and dosimetry for brachytherapy and external beam therapy. Radiological imaging physics topics include operation and quality assurance for CT, MRI, and PET imaging systems and radiation safety.",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
ME 7673 Advanced Mechanical Systems Control (3),Design and analysis of nonlinear control systems; adaptive and robust control techniques; state estimation; stability theory; control and stability of distributed parameter systems.,1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
ME 7443 Advanced Heat Transfer II (3),Convection heat transfer.,2.0,Heat Transfer,technical_skills-1,"{""heat transfer"": 2}"
ME 7433 Advanced Heat Transfer I (3),Steady and transient heat conduction; fundamentals of radiation heat transfer.,2.0,Heat Transfer,technical_skills-1,"{""heat transfer"": 2}"
ME 7343 Computation of Fluid Flow and Heat Transfer (3),Finite-difference methods for solving equations of fluid motions and energy; computer program use to solve complex problems involving fluid flow; heat transfer and chemical reaction; mathematical models for turbulence; radiation and combustion; their computing implications; application of prediction procedures for practical situations.,4.5,Heat Transfer;Combustion,engineering_capabilities-2;technical_skills-1,"{""combustion"": 1, ""heat transfer"": 2}"
ME 4963 Nuclear Reactor Systems Engineering (3),"Engineering aspects of reactor systems; nuclear fuel cycles, isotope separation, mechanical and thermal design, selection of materials and environmental impact of nuclear facilities.",2.5,Systems Engineering,engineering_capabilities-2,"{""systems engineering"": 1}"
ME 4853 Turbomachinery (3),"Preliminary design of axial- and radial-flow pumps, compressors and turbines; determination of optimum flow angles and dimensions, blade design, blade selection and performance prediction.",3.5,Compressors,delivery_and_storage-3,"{""compressors"": 1}"
ME 4763 Fundamentals of Corrosion Science and Engineering (3),"Corrosion principles; polarization, passivation, inhibition and other phenomena; principal methods used in corrosion prevention.",2.5,Corrosion,technical_skills-1,"{""corrosion"": 3}"
ME 4733 Deformation and Fracture of Engineering Materials (3),"Effect of temperature, strain rate, corrosion, and microstructure on stress-strain behavior and fracture of engineering materials, including metals, ceramics and plastics.",1.5,Corrosion,technical_skills-1,"{""corrosion"": 1}"
ME 4723 Advanced Materials Analysis (3),"Concepts and operation of modern analytical instruments using photon or electron beams and X-rays; macroscopic and microscopic examination of materials coupled with separate and combined testing of mechanical, tribological and corrosion properties.",1.5,Corrosion,technical_skills-1,"{""corrosion"": 1}"
ME 4633 Internal Combustion Engines (3),"Classification of internal combustion engines, gas turbines, cycles with different components, spark-ignition gasoline engines, detonation, carburetion, compression-ignition engines, combustion and diesel knock, fuel atomization and atomizers, combustion chambers, two- and four-stroke cycle engines and supercharging.",4.5,Gas Turbine;Combustion,engineering_capabilities-2,"{""gas turbine"": 1, ""combustion"": 4}"
ME 4621 Thermal Science Laboratory (1),"Laboratory demonstrations and experimentation in fluid mechanics, thermodynamics and heat transfer concepts.",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
ME 4443 Introduction to Combustion (3),Basic principles of combustion and their application in solving engineering problems.,3.0,Combustion,engineering_capabilities-2,"{""combustion"": 2}"
ME 4433 Heat Transfer (3),"Principles of heat transfer by conduction, radiation and convection.",2.0,Heat Transfer,technical_skills-1,"{""heat transfer"": 2}"
ME 4223 Welding Engineering II (3),Fundamentals and intermediate level welding and joining; intermediate nondestructive evaluation emphasizing phased-array-ultrasonics; design calculations of welded structures; advanced welding processes.,4.5,Welding,delivery_and_storage-3,"{""welding"": 3}"
IE 7724 Independent Study in Industrial Engineering (1-3),"Independent study in specialized areas such as design and analysis of complex production systems, supply-chain control, maintenance, quality control, reliability, ergonomics and human-computer interaction, information systems, safety and construction management.",2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
